Rownames,MicrobiomeLoad,Treatment,Genotype,Site,Micro,Group
Fun2DMH6301,12.92550175,dry,MH63,AH,Fun,AHFUN
Fun2DMH6302,6.162255473,dry,MH63,AH,Fun,AHFUN
Fun2DMH6304,11.57002042,dry,MH63,AH,Fun,AHFUN
Fun2DMH6305,3.069108244,dry,MH63,AH,Fun,AHFUN
Fun2DMH6306,4.710765106,dry,MH63,AH,Fun,AHFUN
Fun2DMH6307,4.849004002,dry,MH63,AH,Fun,AHFUN
Fun2DMH6308,4.80016934,dry,MH63,AH,Fun,AHFUN
Fun2DMH6312,5.098667282,dry,MH63,AH,Fun,AHFUN
Fun2WMH6301,7.235086216,wet,MH63,AH,Fun,AHFUN
Fun2WMH6302,13.01504586,wet,MH63,AH,Fun,AHFUN
Fun2WMH6303,7.112018738,wet,MH63,AH,Fun,AHFUN
Fun2WMH6305,2.723918461,wet,MH63,AH,Fun,AHFUN
Fun2WMH6306,4.636796673,wet,MH63,AH,Fun,AHFUN
Fun2WMH6307,19.25009776,wet,MH63,AH,Fun,AHFUN
Fun2WMH6309,6.194101571,wet,MH63,AH,Fun,AHFUN
Fun2WMH6310,1.833927064,wet,MH63,AH,Fun,AHFUN
Fun2WMH6311,6.072164715,wet,MH63,AH,Fun,AHFUN
Fun2WMH6312,3.616173295,wet,MH63,AH,Fun,AHFUN
Fun2DWYJ01,12.45305818,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ02,21.21133987,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ03,34.40242707,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ04,29.47600107,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ05,34.75490657,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ06,62.2466586,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ07,34.87184129,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ08,19.19653635,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ09,29.41994507,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ10,17.01160784,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ11,12.44348206,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ12,13.69887486,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ13,25.37389712,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ14,20.9668366,dry,WYJ,AH,Fun,AHFUN
Fun2DWYJ15,37.3230296,dry,WYJ,AH,Fun,AHFUN
Fun2WWYJ01,22.21544827,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ02,24.0853347,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ03,14.83703003,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ05,19.27662136,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ06,19.26413374,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ07,37.78750137,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ08,18.92271961,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ09,12.7109099,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ12,11.24116901,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ13,18.67809369,wet,WYJ,AH,Fun,AHFUN
Fun2WWYJ15,14.3887303,wet,WYJ,AH,Fun,AHFUN
FunDMH6301,56.53815356,dry,MH63,HN,Fun,HNFUN
FunDMH6302,82.32089485,dry,MH63,HN,Fun,HNFUN
FunDMH6303,59.47245728,dry,MH63,HN,Fun,HNFUN
FunDMH6304,55.60331747,dry,MH63,HN,Fun,HNFUN
FunDMH6305,53.38922807,dry,MH63,HN,Fun,HNFUN
FunDMH6306,41.36615997,dry,MH63,HN,Fun,HNFUN
FunDMH6307,63.76334616,dry,MH63,HN,Fun,HNFUN
FunDMH6308,33.23384168,dry,MH63,HN,Fun,HNFUN
FunDMH6309,79.44780915,dry,MH63,HN,Fun,HNFUN
FunDMH6310,44.97953304,dry,MH63,HN,Fun,HNFUN
FunDMH6311,22.02051661,dry,MH63,HN,Fun,HNFUN
FunDMH6312,29.24712962,dry,MH63,HN,Fun,HNFUN
FunDMH6313,87.12887849,dry,MH63,HN,Fun,HNFUN
FunDMH6314,102.0662396,dry,MH63,HN,Fun,HNFUN
FunDMH6315,120.442057,dry,MH63,HN,Fun,HNFUN
FunWMH6302,27.18502629,wet,MH63,HN,Fun,HNFUN
FunWMH6303,35.22623286,wet,MH63,HN,Fun,HNFUN
FunWMH6304,20.36815272,wet,MH63,HN,Fun,HNFUN
FunWMH6305,41.88868163,wet,MH63,HN,Fun,HNFUN
FunWMH6306,26.06948978,wet,MH63,HN,Fun,HNFUN
FunWMH6308,21.8640507,wet,MH63,HN,Fun,HNFUN
FunWMH6309,48.16770015,wet,MH63,HN,Fun,HNFUN
FunWMH6310,42.51824094,wet,MH63,HN,Fun,HNFUN
FunWMH6311,25.32076109,wet,MH63,HN,Fun,HNFUN
FunWMH6312,28.84057956,wet,MH63,HN,Fun,HNFUN
FunWMH6313,40.11571674,wet,MH63,HN,Fun,HNFUN
FunWMH6314,47.67033874,wet,MH63,HN,Fun,HNFUN
FunWMH6315,21.90381853,wet,MH63,HN,Fun,HNFUN
FunDWYJ01,231.5580451,dry,WYJ,HN,Fun,HNFUN
FunDWYJ03,94.52309734,dry,WYJ,HN,Fun,HNFUN
FunDWYJ04,144.921457,dry,WYJ,HN,Fun,HNFUN
FunDWYJ06,147.5193557,dry,WYJ,HN,Fun,HNFUN
FunDWYJ08,81.20043816,dry,WYJ,HN,Fun,HNFUN
FunDWYJ09,86.38512769,dry,WYJ,HN,Fun,HNFUN
FunDWYJ11,91.38878463,dry,WYJ,HN,Fun,HNFUN
FunDWYJ12,102.6378363,dry,WYJ,HN,Fun,HNFUN
FunDWYJ13,144.0137941,dry,WYJ,HN,Fun,HNFUN
FunDWYJ14,111.2947034,dry,WYJ,HN,Fun,HNFUN
FunDWYJ15,83.67565248,dry,WYJ,HN,Fun,HNFUN
FunWWYJ01,42.15901469,wet,WYJ,HN,Fun,HNFUN
FunWWYJ02,56.58177553,wet,WYJ,HN,Fun,HNFUN
FunWWYJ03,52.31082173,wet,WYJ,HN,Fun,HNFUN
FunWWYJ04,20.97955452,wet,WYJ,HN,Fun,HNFUN
FunWWYJ05,100.0972812,wet,WYJ,HN,Fun,HNFUN
FunWWYJ06,34.52986397,wet,WYJ,HN,Fun,HNFUN
FunWWYJ08,32.39801188,wet,WYJ,HN,Fun,HNFUN
FunWWYJ09,32.31600199,wet,WYJ,HN,Fun,HNFUN
FunWWYJ10,57.75139747,wet,WYJ,HN,Fun,HNFUN
FunWWYJ11,40.25727908,wet,WYJ,HN,Fun,HNFUN
FunWWYJ12,39.89511035,wet,WYJ,HN,Fun,HNFUN
FunWWYJ13,24.24926429,wet,WYJ,HN,Fun,HNFUN
FunWWYJ15,20.11917603,wet,WYJ,HN,Fun,HNFUN
Fun2DMH6301,179.0365612,dry,MH63,AH,Bac,AHBAC
Fun2DMH6302,219.2424024,dry,MH63,AH,Bac,AHBAC
Fun2DMH6304,80.18706194,dry,MH63,AH,Bac,AHBAC
Fun2DMH6305,98.48177247,dry,MH63,AH,Bac,AHBAC
Fun2DMH6306,83.70931064,dry,MH63,AH,Bac,AHBAC
Fun2DMH6307,229.0327383,dry,MH63,AH,Bac,AHBAC
Fun2DMH6308,195.9688114,dry,MH63,AH,Bac,AHBAC
Fun2DMH6312,109.0189296,dry,MH63,AH,Bac,AHBAC
Fun2WMH6301,82.32979972,wet,MH63,AH,Bac,AHBAC
Fun2WMH6302,48.36760182,wet,MH63,AH,Bac,AHBAC
Fun2WMH6303,57.08006913,wet,MH63,AH,Bac,AHBAC
Fun2WMH6305,39.77938631,wet,MH63,AH,Bac,AHBAC
Fun2WMH6306,37.30700127,wet,MH63,AH,Bac,AHBAC
Fun2WMH6307,75.50980257,wet,MH63,AH,Bac,AHBAC
Fun2WMH6309,48.61427156,wet,MH63,AH,Bac,AHBAC
Fun2WMH6310,63.19458934,wet,MH63,AH,Bac,AHBAC
Fun2WMH6311,45.66072623,wet,MH63,AH,Bac,AHBAC
Fun2WMH6312,54.37173702,wet,MH63,AH,Bac,AHBAC
Fun2DWYJ01,51.1858823,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ02,50.40350114,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ03,70.82635061,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ04,94.25293601,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ05,93.58062551,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ06,65.80698504,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ07,116.0451718,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ08,96.1577696,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ09,49.01163129,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ10,63.82132571,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ11,76.85874909,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ12,53.70818424,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ13,57.79105468,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ14,78.98003436,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ15,77.96578231,dry,WYJ,AH,Bac,AHBAC
Fun2WWYJ01,90.68790217,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ02,67.29084504,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ03,42.81649995,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ05,38.48002456,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ06,52.11580685,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ07,107.0864141,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ08,60.05542195,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ09,38.77279238,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ12,39.27373229,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ13,77.09263373,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ15,53.92430656,wet,WYJ,AH,Bac,AHBAC
FunDMH6301,103.7941583,dry,MH63,HN,Bac,HNBAC
FunDMH6302,522.1830433,dry,MH63,HN,Bac,HNBAC
FunDMH6303,204.3822665,dry,MH63,HN,Bac,HNBAC
FunDMH6304,94.19988068,dry,MH63,HN,Bac,HNBAC
FunDMH6305,197.1794969,dry,MH63,HN,Bac,HNBAC
FunDMH6306,147.8507768,dry,MH63,HN,Bac,HNBAC
FunDMH6307,225.9498069,dry,MH63,HN,Bac,HNBAC
FunDMH6308,265.9649312,dry,MH63,HN,Bac,HNBAC
FunDMH6309,137.7161952,dry,MH63,HN,Bac,HNBAC
FunDMH6310,110.7856189,dry,MH63,HN,Bac,HNBAC
FunDMH6311,104.041837,dry,MH63,HN,Bac,HNBAC
FunDMH6312,100.6751375,dry,MH63,HN,Bac,HNBAC
FunDMH6313,368.0109324,dry,MH63,HN,Bac,HNBAC
FunDMH6314,306.8398115,dry,MH63,HN,Bac,HNBAC
FunDMH6315,309.895048,dry,MH63,HN,Bac,HNBAC
FunWMH6302,112.9307475,wet,MH63,HN,Bac,HNBAC
FunWMH6303,126.3742971,wet,MH63,HN,Bac,HNBAC
FunWMH6304,116.5744893,wet,MH63,HN,Bac,HNBAC
FunWMH6305,82.23674381,wet,MH63,HN,Bac,HNBAC
FunWMH6306,82.14139587,wet,MH63,HN,Bac,HNBAC
FunWMH6308,83.14950045,wet,MH63,HN,Bac,HNBAC
FunWMH6309,93.89908831,wet,MH63,HN,Bac,HNBAC
FunWMH6310,74.84460701,wet,MH63,HN,Bac,HNBAC
FunWMH6311,96.77040115,wet,MH63,HN,Bac,HNBAC
FunWMH6312,92.65320334,wet,MH63,HN,Bac,HNBAC
FunWMH6313,136.1290922,wet,MH63,HN,Bac,HNBAC
FunWMH6314,136.3104245,wet,MH63,HN,Bac,HNBAC
FunWMH6315,56.31242295,wet,MH63,HN,Bac,HNBAC
FunDWYJ01,636.8147632,dry,WYJ,HN,Bac,HNBAC
FunDWYJ03,396.7974623,dry,WYJ,HN,Bac,HNBAC
FunDWYJ04,402.9792935,dry,WYJ,HN,Bac,HNBAC
FunDWYJ06,606.8554241,dry,WYJ,HN,Bac,HNBAC
FunDWYJ08,290.9504314,dry,WYJ,HN,Bac,HNBAC
FunDWYJ09,166.3821651,dry,WYJ,HN,Bac,HNBAC
FunDWYJ11,478.3421348,dry,WYJ,HN,Bac,HNBAC
FunDWYJ12,312.3798999,dry,WYJ,HN,Bac,HNBAC
FunDWYJ13,366.9319502,dry,WYJ,HN,Bac,HNBAC
FunDWYJ14,215.1833411,dry,WYJ,HN,Bac,HNBAC
FunDWYJ15,390.7859096,dry,WYJ,HN,Bac,HNBAC
FunWWYJ01,144.9637462,wet,WYJ,HN,Bac,HNBAC
FunWWYJ02,95.52926111,wet,WYJ,HN,Bac,HNBAC
FunWWYJ03,83.07672727,wet,WYJ,HN,Bac,HNBAC
FunWWYJ04,58.00635549,wet,WYJ,HN,Bac,HNBAC
FunWWYJ05,103.8018092,wet,WYJ,HN,Bac,HNBAC
FunWWYJ06,67.85892382,wet,WYJ,HN,Bac,HNBAC
FunWWYJ08,71.68858529,wet,WYJ,HN,Bac,HNBAC
FunWWYJ09,82.83902669,wet,WYJ,HN,Bac,HNBAC
FunWWYJ10,117.6510231,wet,WYJ,HN,Bac,HNBAC
FunWWYJ11,100.4699674,wet,WYJ,HN,Bac,HNBAC
FunWWYJ12,93.25634817,wet,WYJ,HN,Bac,HNBAC
FunWWYJ13,102.4439176,wet,WYJ,HN,Bac,HNBAC
FunWWYJ15,47.09864679,wet,WYJ,HN,Bac,HNBAC
